"Instytucja wybierana";"Kod terytorialny";"Nr okręgu";"Liczba mandatów";"Liczba komitetów";"Liczba kandydatów";"Liczba wyborców";"Granice okręgu wyborczego"
"Sejm";"SJM/17";"17";"9";"8";"139";"581104";"Powiaty: białobrzeski, grójecki, kozienicki, lipski, przysuski, radomski, szydłowiecki, zwoleński, Miasto na prawach powiatu: Radom"
"Sejm";"SJM/18";"18";"12";"9";"188";"762035";"Powiaty: garwoliński, łosicki, makowski, miński, ostrołęcki, ostrowski, pułtuski, siedlecki, sokołowski, węgrowski, wyszkowski, Miasta na prawach powiatu: Ostrołęka, Siedlce"
"Sejm";"SJM/19";"19";"20";"7";"261";"1493055";"Miasto na prawach powiatu: Warszawa (oraz obwody głosowania za granicą)"
"Sejm";"SJM/20";"20";"12";"9";"199";"804045";"Powiaty: grodziski, legionowski, nowodworski, otwocki, piaseczyński, pruszkowski, warszawski zachodni, wołomiński"
"Sejm";"SJM/21";"21";"12";"9";"204";"827591";"Województwo opolskie"
"Sejm";"SJM/22";"22";"11";"10";"192";"710294";"Powiaty: bieszczadzki, brzozowski, jarosławski, jasielski, krośnieński, leski, lubaczowski, przemyski, przeworski, sanocki, Miasta na prawach powiatu: Krosno, Przemyśl"
"Sejm";"SJM/23";"23";"15";"10";"256";"981103";"Powiaty: dębicki, kolbuszowski, leżajski, łańcucki, mielecki, niżański, ropczycko-sędziszowski, rzeszowski, stalowowolski, strzyżowski, tarnobrzeski, Miasta na prawach powiatu: Rzeszów, Tarnobrzeg"
"Sejm";"SJM/24";"24";"14";"10";"255";"958856";"Województwo podlaskie"
"Sejm";"SJM/25";"25";"12";"8";"160";"829936";"Powiaty: gdański, kwidzyński, malborski, nowodworski, starogardzki, sztumski, tczewski, Miasta na prawach powiatu: Gdańsk, Sopot (oraz obwody głosowania na polskich statkach morskich)"
"Sejm";"SJM/26";"26";"14";"7";"188";"929393";"Powiaty: bytowski, chojnicki, człuchowski, kartuski, kościerski, lęborski, pucki, słupski, wejherowski, Miasta na prawach powiatu: Gdynia, Słupsk (oraz obwody głosowania na polskich statkach morskich)"
"Sejm";"SJM/27";"27";"9";"8";"134";"610963";"Powiaty: bielski, cieszyński, pszczyński, żywiecki, Miasto na prawach powiatu: Bielsko-Biała"
"Sejm";"SJM/28";"28";"7";"8";"111";"495295";"Powiaty: częstochowski, kłobucki, lubliniecki, myszkowski, Miasto na prawach powiatu: Częstochowa"
"Sejm";"SJM/29";"29";"9";"7";"119";"634111";"Powiaty: gliwicki, tarnogórski, Miasta na prawach powiatu: Bytom, Gliwice, Zabrze"
"Sejm";"SJM/30";"30";"9";"9";"137";"584310";"Powiaty: mikołowski, raciborski, rybnicki, wodzisławski, Miasta na prawach powiatu: Jastrzębie-Zdrój, Rybnik, Żory"
"Sejm";"SJM/31";"31";"12";"8";"181";"807624";"Powiaty: bieruńsko-lędziński, Miasta na prawach powiatu: Chorzów, Katowice, Mysłowice, Piekary Śląskie, Ruda Śląska, Siemianowice Śląskie, Świętochłowice, Tychy"
"Sejm";"SJM/32";"32";"9";"8";"135";"585638";"Powiaty: będziński, zawierciański, Miasta na prawach powiatu: Dąbrowa Górnicza, Jaworzno, Sosnowiec"
"Sejm";"SJM/33";"33";"16";"10";"292";"1045948";"Województwo świętokrzyskie"
"Sejm";"SJM/34";"34";"8";"8";"117";"508898";"Powiaty: bartoszycki, braniewski, działdowski, elbląski, iławski, lidzbarski, nowomiejski, ostródzki, Miasto na prawach powiatu: Elbląg"
"Sejm";"SJM/35";"35";"10";"8";"151";"637830";"Powiaty: ełcki, giżycki, gołdapski, kętrzyński, mrągowski, nidzicki, olecki, olsztyński, piski, szczycieński, węgorzewski, Miasto na prawach powiatu: Olsztyn"
